author,text,label
@SamuelChrist,dan itulah seberapa pentingnya kejujuran bang david mereview hp supaya kita ga tertipu beli hp dengan iming iming harga murahviral,positive
@NanangMrk,prestasi tertinggi politisi dipanggil close the door prestasi tertinggi youtuber tech disebut gadgetin terima kasih tim gadgetin,neutral
@Jmyzfut01,akhirnya bang david speak up juga tentang hp ini soalnya kasihan banget orang orang yang gatau dan asal beli gara gara embel embel diskon murah di live brand kw kayak gini pun banyak yang beli padahal keliatan video live nya itu pake suara rekaman hpnya cuma ditunjukin di slide doang,negative
@bambangbudiprayetno2701,mungkin kalau bang david penasaran bisa liat pada pengaturan apps dan liat semua list appsnya nanti disitu pasti ada beberapa nama apps aneh dimana pasti salah satunya digunakan untuk memanipulasi informasi perangkat seperti soc kapasitas ram rom dsb perangkat seperti ini umumnya cuma punya gb aja kalau beruntung paling cuma dapat atau gb dan berjalan di versi android atau kebawah soalnya android butuh minimal ram keatas dan yep logo g itu cuma tempelan doang paling ya masih g itu xd edit android keatas memang masih bisa jalan di ram gb tapi tentunya nggk akan smooth bahkan bisa saja gadgetnya akan sering hang karena itu ada namanya android go yang memang dirancang khusus untuk device dengan ram gb kebawah jadi android entry level bisa dapat patch keamanan dan fitur uptodate dulu juga ada namanya android one yang juga didesain untuk perangkat low budgetentry level tapi memang android go lebih populer anggap aja android go itu versi litenya android yang utama btw kenapa alasan android keatas itu butuh minimal ram gb karena memang mayoritas fiturnya katakanlah floating windows atau background processing itu butuh alokasi ram lebih ya anggap saja seperti min requirement os buat dekstop,negative
@TretanUniverse,suapnya gede ini buat konten ini dan biar bs satu frame satu set gaming lbh ampuh dari gram,positive
@dodilutfianto6884,setelah melihat notifikasi vidio inijiwa misquenku terpanggil,neutral
@a.fikrinailularzaq4105,ini bagus si buat telkomsel biar nggak leha leha internet mahal kualitas rendah kalo merasa ada kompetitor semoga telkomsel bisa banyak berbenah,positive
@JustNap,netijen mana ada pc gaming rb kudet tech hold my beer btches,neutral
@mochammadariqatillah2000an,timestamp opening nama hp spesifikasi kunci iklan kopi kapal api box hp isi box penampakan hp build quality info pembelian daleman hp inspirasi video startup tampilan awal hp spesifikasi lengkap tes kualitas layar dan audio sim card tray tes konektivitas tes kamera funny moment kesimpulan closing bonus scene,neutral
@bpsocial9103,org china bukan hanya punya banyak kenalan elektronik tapi bahkan bisa menyatukan org beragama dan tidak beragama aku cinta chinese people,positive
@hidayatnasution1620,konten yang bermutu agar buat yang awam soal hp murah gak sampai tertipu terima kasih bang david,positive
@DenWidhianto,dengan edukasi seperti ini diharapkan masyarakat bisa pintar dalam memilih properti jgn asal liat harga murah dan lupakan kualitas lihat kualitasnya dan harganya udh keliatan kalo bingung ya minta bang david review lagi semangat bang david,positive
@asepnuryadi7970,baru hari udah juta viewers memang paling mantab channel bang david ini udah ngikutin dari tahun dengan subscriber masih dikit sekarang jadi youtuber hebat sukses terus bang david semakin banyak subscriber dan viewersnya,positive
@irfanzizi,ini target pasarnya bukan untuk kota tapi daerah yang susah sinyalpelosok,neutral
@restu7872,akhirnya di up semoga penonton bisa lebih bijak dan cerdas dalam berbelanja online dan tidak gampang tertipu dengan harga murah,positive
@mukhlishrahman,terimakasih bang edwin sudah mewujudkan mimpi bang coki untuk punya set up pc yang keren sehingga bisa menonton mma dengan nyaman,positive
@BramRECORDS,biasanya yang menjadi korban target pasarnya ialah masyarakat perkampungan mereka sudah berusaha menabung atau menjual sesuatu untuk bajet jutaan untuk membeli hp dan mereka lah yang paling sering tertipu membeli produk ini korban pada umumnya yang putus sekolah org yang sudah tua memang perlu video ini kita share kasihan mereka yang masih buta teknologi jadi lahan subur para bajingan itu sekali lagi bang terimakasih sudah mereview nya dengan sangat jujur,negative
@wawanpbg,kangen banget liat bang david unboxing hp sebebas ini jadi keinget tahun pas subscribernya masih ribuan unboxing seru banget kayak gini nggak ada segansegannya kalo nggak suka langsung dibilang akhirnya ada momen lagi bisa nonton video kayak gini ngakak sepanjang video,positive
@dwisetyonugrohoo,ini modal ribuan bisa main game pc coyyy hla lu beli hp ribuan buat main epep aja masih ngelag v,negative
@mochammadariqatillah2000an,pertama kalinya saya lihat xiaomi dibikin kw lihat hp kw ini jadi keinget dengan xiaomi redmi desainnya mirip banget sebelumnya iphone dibikin hdc sekarang xiaomi yang dibikin versi hdc tapi bagus lah dengan adanya video ini agar tidak mudah ketipu dengan brand hdc sangat bermanfaat dan juga bang david akhirnya speak up juga tentang hp hdc baik itu dari android maupun apple dan kesimpulan nya bagus jangan pernah beli hp hdc belum tentu hp hdc kualitas nya lebih baik dari hp resmi sukses terus buat bang david dan tim gadgetin,positive
@dodollegitz7027,sedikit pengalaman aja nih buat pasang socket power biasanya gua hubungkan jarum kuningan pake obeng min kalo nyala berarti itu power fan proci kalo posisi mobo udah terpasang buat cek kencang atau kendor tinggal goyang pake tangan untuk fan di video itu jg kalo pasangin kakinya tidak boleh asal puter bisa patah atau jd slek jangan pegang bagian bawa proci waktu mau pasang proci ada jendolan disampingnya cocokin jendolan itu dengan tempat proci yang memiliki rongga buat jendolan sebelum rakit baiknya baca dulu apakah komponen yang kita pakai suport atau tidak dengan komponen lain pasang ram harus kenceng kalau longgar bisa kebakar pengalaman pernah bakar ram pc konsimen ini hanya sekedar pengalaman aja hehe,negative
@bimacahya5846,yang saya pikir walah murah bngt rb doang otw beli slurd pas sadar sy lupa kalo monitor keyboard mouse segala macem blom ada,negative
@luckk3471,video yang sangat menunjukkan betapa powerful nya orang chinese,positive
@dirgarivaldiyanto,casing belum termasuk gw make kardus,negative
@reinandra,gwmana mungkin ribu kudet techmungkin banget,negative
@adiadisecond8971,starlink ini adalah investasi yang sangat bagus di indonesia bagi elon musk beda waktu indonesia approach dia untuk sumber daya nikel elon ga tertarik untuk berinvestasi pada saat itu dia bisa liat peluang karena indonesia negara kepulauan dan masih banyak daerah yang blm terkoneksi dengan internet ditambah lagi degan adanya kasus korupsi bts yang ditargetkan untuk daerah tertinggal ini kesempatan besar bagi elon untuk memperkenalkan produknya di indonesia dengan keunggulan yang dimiliki starlink pelajarannya dlm berbisnis perlu mengetahui dan memahami situasi politik yang terjadi di suatu daerah and jadikan itu sebagai peluang bukan hanya sebagai literasi  bagus  job elon,positive
@nicolasgg6298,jadi gini ya mifans xiaomi indonesia itu beli monitornya langsung dari pabriknya yang dimana harganya lebih murah dibandingkan dengan harga retail di cina namun kenyataannya xiaomi indonesia ngambil profitnya terlalu tinggi boss jadi profit itu cuman omong kosong belaka,negative
@s1mple-now-stream,ekspektasi tidak sesuai realita ya haha,negative
@goodreva6377,ketika lo ke kios komputer pembeli koh mau rakit pc kokoh kios buat apa emang pembeli yangpenting bisa maen gta v dan pubg kokoh kios emangnya kamu punya budget berapa pembeli rb kokoh kios berapa pembeli rb bro kokoh kios cok betombok kita,negative
@dvrentax1473,terima kasih bang edwin sudah mengembalikan duo terbaik sehat terus dan sukses yaa,positive
@rickhalim,gila gw demen banget pas bang david lempar tuh charger damagenya dan kesalnya bner gw rasain mangstap banggg always bringing  bagus  education to audience,positive
@astiswastini6901,lihat  rekomen asi bisa main gta di pc rb me liat komputer saya yang jt cuman bisa main gta sa second later banting pc jt buat yang rb,neutral
@takarione231,hdc masih ada harga dirinya ini ga sama sekali david gadgetin,negative
@mhmdardhn7209,dimana ada harga disitu ada kualitas kata kata yang selalu gua inget sebelum beli barang penting,positive
@zakavlog99,gak bosen bosen liat konten bang davidcara review yang jujur dan apa adanya,positive
@pramv1379,bulan nabung buat beli pc setelah terbeli nabung lagi buat beli gta v,neutral
@felic5054,orang yang punya pc abis jt jt dpt pcmending dijadiin pc rebuan bisa bikin warnet lantai,neutral
@iyus9139,udah sering liat hp modelan kayak gini di ecommerce murah dan banyak yang beli itu hp nya berasa pake ram gb lemot banget trus tampilan menu setting kayak android kebawah berasa banget hp kentangnya karena pernah punya hp kentang juga udah intinya jangan tergiur iklan apalagi yang murah daripada nyesel duit kebuang sia masih banyak hp lain yang harganya terjangkau tapi kualitas nya lumayan buat dipake seharihari makasih bang david review nya,positive
@mochammadariqatillah2000an,timestamp opening isi video berita starlink fitur unggulan prosesnya box varian dan harga unboxing dan isi box proses rakit proses instalasi dan harga paket internet persiapan test tes kecepatan internet fitur paket internet penampakan spesifikasi tes gaming tes scrolling tes video cerita bang david tes tiktok kesimpulan dan closing akhirnya bang david dan tim kembali coba tes internet wifi lagi mantap bang david dan tim gadgetin,positive
