author,like_count,text,Sentiment
@alsimanche,853,kenapa yang kayak gini malah sepi sihh serius dah film penting kayak gini yang seharusnya dapat hype yang gede,negatif
@morning355,791,keren nihhh film mengangkat nilai kesetaraan gender hak anak untuk memilih dan masih banyak nilai kehidupan lainnya yang mulai memudar semoga film ini menggubah sudut pandang para orang tua utk tidak memaksakan perjodohan kepada anak,positif
@user-ko3bi2jt4e,480,coba viral kan dan bikin filmnya juga kasus pembunuhan mahasiswa ui ahseyna sampai saat ini blm ditangkap pembunuh nya udah dr,negatif
@mamaumar1305,359,baru trailer nya aja udh nangis al fatihah untuk almarhumah vina dan almarhum eki,positif
@Forzot,350,bagus nih biar mata orangtua pada terbuka sayangnya orangtua model gini biasanya ga nonton bioskop wk,positif
@bobbiec.t5075,329,ini film yang dibutuhkan indonesia this is what we need keep up the  bagus  job,positif
@kerajaanlangitfans9122,311,filem ni memang terbaik budaya patriarki memang mencengkam dalam konteks masyarakat di sekeliling yuni isu identiti gender juga diangkat tidak lupa bahasa lokal diangkat iaitu bahasa jaseng jawaserang justeru seharusnya warga indonesia harus berbangga kerana adanya filem seperti ini maju terus perfileman indonesia salam dari malaysia,positif
@antohidayat5504,288,orang tua pelaku harus nonton film ini biar tahu betapa sakitnya vina dan orang tua vina,positif
@PrimaK-bs4ge,254,berarti ini berdasarkan aja gak plek ketiplek sama cerita aslinya bagus sih malah bikin penasaran kalau plek sama takutnya ekspektasi kita terhadap filmnya jadi udah tau alurnya kalau ini ada beberapa perbedaan dari orang tua mawar ada teman yang sepertinya indigo dan bantu vey dkk ada yesaya yang jadi peran cwok di cerita sedangkan aslinya kita tidak pernah tau ada cwok dicerita mbak vey kecuali restu dan ada kehidupan kampus serta kostnya yang juga lebih banyak di ceritakan di film ini bakal bagus dan seru sih horor indo mulai berkembang bukan sekedar horor tapi segi drama dan ceritanya mulai berkembang,positif
@rikoferdiansyah51,234,tumben banget font nya warna ungu biasanya merah kalau horor,netral
@ernestprakasa,207,kamila andini idolaku,positif
@ayina111,202,meskipun saya lahir di kampung di suatu tempat yang cukup terpencil gunung dan jauh dari kota di banjarnegara jawa tengah tapi para orang tua tidak ada yang menyuruh anaknya buru nikah kalau anaknya pinter bisa kuliah dibantu beasiswa kalo pasan ya kerja rata merantau keluar negeri kalau cowok kerja di tambang jarang sekali ada yang lulus sma langsung menikah saya kebetulan beruntung dapat beasiswa setelah dapat kerja punya rumah di bogor kaget saya lihat mindset orang sini banyak yang menganggap pendidikan gak penting yang penting hafal quran jarang yang merantau orang tua sengaja menikahkan anak ceweknya cepet pdhl baru lulus smp kayaknya tu beban banget punya anak perempuan kasihan pdhl banyak yang pinter tapi hidup jadi susah karena harus manut sama orang tua buat almarhum bapakku terima kasih aku dibebaskan untuk menjadi apapun yang aku mau,positif
@askaalkaf8601,198,siap siap buat yang kabur ke jakarta kasus tahun yang lalu kalo sampe film ini viral lu bakalan di cari lagi dan kembali di kasusin kmren kasus mu hilang gitu aja sama berita ahok yang penistaan agama,negatif
@adityaferdian113,177,gw nonton film ini barusan pas adegan linda kesurupan arwah vina terus nyeritain kronologi kejadian nya satu studio nangis gak tega begitu kejam nya pelaku mukul make balokbatungelindes pake motorterus merkosa secara bergantian biadab emang para pelaku dari pelaku sudah ketangkap lagi sampai skrg masih buron karena denger kabar yang buron merupakan anak polisi dan punya bekingan sangat kuat gpp didunia bisa lolos tapi di akhirat semoga mendapatkan hukuman yang setimpal buat almarhumah vina semoga tenang,positif
@Dikiadipinulung,154,pocong aja punya kisah effort percintaan bjir kasihan sama yang hts an trs di ghosting,netral
@anggaraark,130,jangan pernah membully orang lain allah swt berfirman hai orangorang yang beriman janganlah sekumpulan orang lakilaki merendahkan kumpulan yang lain boleh jadi yang ditertawakan itu lebih baik dari mereka dan jangan pula sekumpulan perempuan merendahkan kumpulan lainnya boleh jadi yang direndahkan itu lebih baik qs al hujurat stopbullying justiceforvina vinasebelumhari,positif
@soearadirimovie2685,117,keliatan banget bedanya trailer buat tiff menggambarkan tema dan isu sensitif yang dibawakan filmnya sedangkan trailer untuk komersil dibuat kayak film coming of age lengkap dengan romansa remajanya yang khas,netral
@anggaraark,117,tidak semua cinta pertama itu indahterkadangbisa menjadi sebuah petaka dan berakhir nestapa,netral
@muhammadiqbal1672,108,pas adegan disiksa dan diperkosa pasti banyak yang nangis secara kaki vina remuk tangan patah ya allah semiga husnul khotimah vina,positif
@AzzamAlfa,107,horror yang berbeda sepertinya ini dari instrumen alur cerita adegan semuanya baru semoga saja bisa menambah formula baru horror indonesia agar makin beragam,positif
@dimasagungp8002,100,bagussssss benerrrr trailernya ekspektasi saya jadi cukup tinggi sama seperti saat pertama kali melihat trailer film steps of may dan lagi kalo dari trailer ini saya masih tidak bisa berandai andai arah endingnya bakalan kemana film ini canwait sampai bertemu desember fun fact raihaanun dalam film steps of may pemeran utama perempuan terbaik di festival film indonesia arawinda kirana dalam film yuni pemeran utama perempuan terbaik di festival film indonesia,positif
@susanti69,84,wahhh udah lama bangettt denger kisah ini di youtube do you seee what i see seremm bgt emang siih ceritanya antara percaya dan gak percaya dengan kisah mawar ini sbg kisah nyata akhirnya di filmkan,positif
@windrangers7236,83,gini loh film horor ga norak ga maksa jumscare dan alur jelas,positif
@hikam_on,74,untuk para pelaku yang masih bebas diluaran sana kata gua mah mending serahin diri lu ke polisi sebelum terlambat,negatif
@DanuMunandi,72,sebagai warga kota serang bangga banget sama film ini yang mengangkat bahasa jaseng wajib nonton,positif
@argokhalifahsantoso130,68,kenapa kevin ardilova g masuk nominasi pendukung aktor terbaik di ffi pdhl disini dia scenenya bnyk jd penting kedua,negatif
@ilhammustafa09,63,semoga husnul khatimah vinaayo lindungi adik kita jangan sampai ada korban seperti vina lagi,positif
@ChristyMartaMarbun,62,so excited for yuni,positif
@ilham_priono,59,penasaran dan wajib nonton terutama warga banten latar belakang lokasi pasti sekitar anyer banten bisa dibuktikan dengan beberapa logat jaseng dan ibu yang menggunakan bahasa sunda tembok berwarna merah putih terletak di belakang sebuah pabrik petrochemical,positif
@Cijakushorts,56,fyi yahh gaess film ini adalah remake dari film prancis tahun yang berjudul possession yang disutradarai oleh andrzej zulawski,netral
@WahyudiDN,54,wah kyknya ceritanya lebih kompleks dari pada yang di podcast ya semoga jadi lebih seru,positif
