author,text,label,text_clean,text_tokenized,text_cleaned_slang,text_cleaned_stopword,text_stemmed_mps,text_lemmatized_nlp-id
@SamuelChrist,dan itulah seberapa pentingnya kejujuran bang david mereview hp supaya kita ga tertipu beli hp dengan iming iming harga murahviral,positive,dan betapa pentingnya kejujuran bang david mereview hp supaya kita ga tertipu beli hp dengan iming iming harga murahviral,"['dan', 'betapa', 'pentingnya', 'kejujuran', 'bang', 'david', 'mereview', 'hp', 'supaya', 'kita', 'ga', 'tertipu', 'beli', 'hp', 'dengan', 'iming', 'iming', 'harga', 'murahviral']","['dan', 'betapa', 'pentingnya', 'kejujuran', 'bang', 'david', 'mereview', 'hp', 'supaya', 'kita', 'enggak', 'tertipu', 'beli', 'hp', 'dengan', 'iming', 'iming', 'harga', 'murahviral']","['betapa', 'kejujuran', 'bang', 'david', 'mereview', 'hp', 'tertipu', 'beli', 'hp', 'iming', 'iming', 'harga', 'murahviral']",betapa jujur bang david gemeresik hp tipu beli hp iming iming harga memorial,"['betapa', 'jujur', 'bang', 'david', 'mereview', 'hp', 'tipu', 'beli', 'hp', 'iming', 'iming', 'harga', 'murahviral']"
@NanangMrk,prestasi tertinggi politisi dipanggil close the door prestasi tertinggi youtuber tech disebut gadgetin terima kasih tim gadgetin,neutral,prestasi tertinggi dihubungi close the door prestasi tertinggi youtuber tech disebut gadgetin terima kasih tim gadgetin,"['prestasi', 'tertinggi', 'dihubungi', 'close', 'the', 'door', 'prestasi', 'tertinggi', 'youtuber', 'tech', 'disebut', 'gadgetin', 'terima', 'kasih', 'tim', 'gadgetin']","['prestasi', 'tertinggi', 'dihubungi', 'close', 'the', 'door', 'prestasi', 'tertinggi', 'youtuber', 'tech', 'disebut', 'gadgetin', 'terima', 'kasih', 'tim', 'gadgetin']","['prestasi', 'tertinggi', 'dihubungi', 'close', 'the', 'door', 'prestasi', 'tertinggi', 'youtuber', 'tech', 'gadgetin', 'terima', 'kasih', 'tim', 'gadgetin']",prestasi tinggi hubung close the door prestasi tinggi youtuber tech garnet terima kasih tim garnet,"['prestasi', 'tinggi', 'hubung', 'close', 'the', 'door', 'prestasi', 'tinggi', 'youtuber', 'tech', 'gadgetin', 'terima', 'kasih', 'tim', 'gadgetin']"
@Jmyzfut01,akhirnya bang david speak up juga tentang hp ini soalnya kasihan banget orang orang yang gatau dan asal beli gara gara embel embel diskon murah di live brand kw kayak gini pun banyak yang beli padahal keliatan video live nya itu pake suara rekaman hpnya cuma ditunjukin di slide doang,negative,akhirnya bang david speak up juga tentang hp ini soalnya kasih sayang banget orang orang yang gatau dan asal beli gara gara embel embel diskon murah di live brand kw kayak gini pun banyak yang beli padahal keliatan video live nya itu pake suara rekaman hpnya cuma ditunjukin di slide doang,"['akhirnya', 'bang', 'david', 'speak', 'up', 'juga', 'tentang', 'hp', 'ini', 'soalnya', 'kasih', 'sayang', 'banget', 'orang', 'orang', 'yang', 'gatau', 'dan', 'asal', 'beli', 'gara', 'gara', 'embel', 'embel', 'diskon', 'murah', 'di', 'live', 'brand', 'kw', 'kayak', 'gini', 'pun', 'banyak', 'yang', 'beli', 'padahal', 'keliatan', 'video', 'live', 'nya', 'itu', 'pake', 'suara', 'rekaman', 'hpnya', 'cuma', 'ditunjukin', 'di', 'slide', 'doang']","['akhirnya', 'bang', 'david', 'speak', 'up', 'juga', 'tentang', 'hp', 'ini', 'soalnya', 'kasih', 'sayang', 'banget', 'orang', 'orang', 'yang', 'enggak tau', 'dan', 'asal', 'beli', 'gara', 'gara', 'embel', 'embel', 'diskon', 'murah', 'di', 'live', 'brand', 'kau', 'kayak', 'begini', 'pun', 'banyak', 'yang', 'beli', 'padahal', 'kelihatan', 'video', 'live', 'nya', 'itu', 'pakai', 'suara', 'rekaman', 'hpnya', 'cuma', 'ditunjukin', 'di', 'slide', 'doang']","['bang', 'david', 'speak', 'up', 'hp', 'kasih', 'sayang', 'banget', 'tau', 'beli', 'gara', 'gara', 'embel', 'embel', 'diskon', 'murah', 'live', 'brand', 'kau', 'kayak', 'beli', 'video', 'live', 'pakai', 'suara', 'rekaman', 'hpnya', 'ditunjukin', 'slide', 'doang']",bang david speak up hp kasih sayang banget tau beli gara gara embel embel diskon murah live brand kau kayak beli video live pakai suara rekam hpnya tunjuk slide doang,"['bang', 'david', 'speak', 'up', 'hp', 'kasih', 'sayang', 'banget', 'tau', 'beli', 'gara', 'gara', 'embel', 'embel', 'diskon', 'murah', 'live', 'brand', 'kau', 'kayak', 'beli', 'video', 'live', 'pakai', 'suara', 'rekam', 'hpnya', 'ditunjukin', 'slide', 'doang']"
@bambangbudiprayetno2701,mungkin kalau bang david penasaran bisa liat pada pengaturan apps dan liat semua list appsnya nanti disitu pasti ada beberapa nama apps aneh dimana pasti salah satunya digunakan untuk memanipulasi informasi perangkat seperti soc kapasitas ram rom dsb perangkat seperti ini umumnya cuma punya gb aja kalau beruntung paling cuma dapat atau gb dan berjalan di versi android atau kebawah soalnya android butuh minimal ram keatas dan yep logo g itu cuma tempelan doang paling ya masih g itu xd edit android keatas memang masih bisa jalan di ram gb tapi tentunya nggk akan smooth bahkan bisa saja gadgetnya akan sering hang karena itu ada namanya android go yang memang dirancang khusus untuk device dengan ram gb kebawah jadi android entry level bisa dapat patch keamanan dan fitur uptodate dulu juga ada namanya android one yang juga didesain untuk perangkat low budgetentry level tapi memang android go lebih populer anggap aja android go itu versi litenya android yang utama btw kenapa alasan android keatas itu butuh minimal ram gb karena memang mayoritas fiturnya katakanlah floating windows atau background processing itu butuh alokasi ram lebih ya anggap saja seperti min requirement os buat dekstop,negative,mungkin kalau bang david penasaran bisa liat pada pengaturan apps dan liat semua list appsnya nanti disitu pasti ada beberapa nama apps aneh dimana pasti salah satunya digunakan untuk memanipulasi informasi perangkat seperti soc kapasitas ram rom dsb perangkat seperti ini umumnya cuma punya gb aja kalau beruntung paling cuma dapat atau gb dan berjalan di versi android atau kebawah soalnya android butuh minimal ram keatas dan yep logo g itu cuma tempelan doang paling ya masih g itu xd edit android keatas memang masih bisa jalan di ram gb tapi tentunya nggk akan smooth bahkan bisa saja gadgetnya akan sering hang karena itu ada namanya android go yang memang dirancang khusus untuk perangkat dengan ram gb kebawah jadi android entry level bisa dapat patch keamanan dan fitur uptodate dulu juga ada nama android one yang juga didesain untuk perangkat low budgetentry level tapi memang android go lebih populer anggap aja android go itu versi litenya android yang utama btw kenapa alasan android keatas itu butuh minimal ram gb karena memang sebagian besar fiturnya mengatakan floating windows atau background processor itu butuh alokasi ram lebih ya anggap saja seperti min requiremen os buat dekstop,"['mungkin', 'kalau', 'bang', 'david', 'penasaran', 'bisa', 'liat', 'pada', 'pengaturan', 'apps', 'dan', 'liat', 'semua', 'list', 'appsnya', 'nanti', 'disitu', 'pasti', 'ada', 'beberapa', 'nama', 'apps', 'aneh', 'dimana', 'pasti', 'salah', 'satunya', 'digunakan', 'untuk', 'memanipulasi', 'informasi', 'perangkat', 'seperti', 'soc', 'kapasitas', 'ram', 'rom', 'dsb', 'perangkat', 'seperti', 'ini', 'umumnya', 'cuma', 'punya', 'gb', 'aja', 'kalau', 'beruntung', 'paling', 'cuma', 'dapat', 'atau', 'gb', 'dan', 'berjalan', 'di', 'versi', 'android', 'atau', 'kebawah', 'soalnya', 'android', 'butuh', 'minimal', 'ram', 'keatas', 'dan', 'yep', 'logo', 'g', 'itu', 'cuma', 'tempelan', 'doang', 'paling', 'ya', 'masih', 'g', 'itu', 'xd', 'edit', 'android', 'keatas', 'memang', 'masih', 'bisa', 'jalan', 'di', 'ram', 'gb', 'tapi', 'tentunya', 'nggk', 'akan', 'smooth', 'bahkan', 'bisa', 'saja', 'gadgetnya', 'akan', 'sering', 'hang', 'karena', 'itu', 'ada', 'namanya', 'android', 'go', 'yang', 'memang', 'dirancang', 'khusus', 'untuk', 'perangkat', 'dengan', 'ram', 'gb', 'kebawah', 'jadi', 'android', 'entry', 'level', 'bisa', 'dapat', 'patch', 'keamanan', 'dan', 'fitur', 'uptodate', 'dulu', 'juga', 'ada', 'nama', 'android', 'one', 'yang', 'juga', 'didesain', 'untuk', 'perangkat', 'low', 'budgetentry', 'level', 'tapi', 'memang', 'android', 'go', 'lebih', 'populer', 'anggap', 'aja', 'android', 'go', 'itu', 'versi', 'litenya', 'android', 'yang', 'utama', 'btw', 'kenapa', 'alasan', 'android', 'keatas', 'itu', 'butuh', 'minimal', 'ram', 'gb', 'karena', 'memang', 'sebagian', 'besar', 'fiturnya', 'mengatakan', 'floating', 'windows', 'atau', 'background', 'processor', 'itu', 'butuh', 'alokasi', 'ram', 'lebih', 'ya', 'anggap', 'saja', 'seperti', 'min', 'requiremen', 'os', 'buat', 'dekstop']","['mungkin', 'kalau', 'bang', 'david', 'penasaran', 'bisa', 'lihat', 'pada', 'pengaturan', 'apps', 'dan', 'lihat', 'semua', 'list', 'appsnya', 'nanti', 'disitu', 'pasti', 'ada', 'beberapa', 'nama', 'apps', 'aneh', 'dimana', 'pasti', 'salah', 'satunya', 'digunakan', 'untuk', 'memanipulasi', 'informasi', 'perangkat', 'seperti', 'soc', 'kapasitas', 'ram', 'rom', 'dsb', 'perangkat', 'seperti', 'ini', 'umumnya', 'cuma', 'punya', 'gb', 'saja', 'kalau', 'beruntung', 'paling', 'cuma', 'dapat', 'atau', 'gb', 'dan', 'berjalan', 'di', 'versi', 'android', 'atau', 'kebawah', 'soalnya', 'android', 'butuh', 'minimal', 'ram', 'keatas', 'dan', 'ya', 'logo', 'enggak', 'itu', 'cuma', 'tempelan', 'doang', 'paling', 'ya', 'masih', 'enggak', 'itu', 'xd', 'edit', 'android', 'keatas', 'memang', 'masih', 'bisa', 'jalan', 'di', 'ram', 'gb', 'tapi', 'tentunya', 'enggak', 'akan', 'smooth', 'bahkan', 'bisa', 'saja', 'gadgetnya', 'akan', 'sering', 'hang', 'karena', 'itu', 'ada', 'namanya', 'android', 'go', 'yang', 'memang', 'dirancang', 'khusus', 'untuk', 'perangkat', 'dengan', 'ram', 'gb', 'kebawah', 'jadi', 'android', 'entry', 'level', 'bisa', 'dapat', 'patch', 'keamanan', 'dan', 'fitur', 'uptodate', 'dulu', 'juga', 'ada', 'nama', 'android', 'one', 'yang', 'juga', 'didesain', 'untuk', 'perangkat', 'low', 'budgetentry', 'level', 'tapi', 'memang', 'android', 'go', 'lebih', 'populer', 'anggap', 'saja', 'android', 'go', 'itu', 'versi', 'litenya', 'android', 'yang', 'utama', 'btw', 'kenapa', 'alasan', 'android', 'keatas', 'itu', 'butuh', 'minimal', 'ram', 'gb', 'karena', 'memang', 'sebagian', 'besar', 'fiturnya', 'mengatakan', 'floating', 'windows', 'atau', 'background', 'processor', 'itu', 'butuh', 'alokasi', 'ram', 'lebih', 'ya', 'anggap', 'saja', 'seperti', 'min', 'requiremen', 'os', 'buat', 'dekstop']","['bang', 'david', 'penasaran', 'pengaturan', 'apps', 'list', 'appsnya', 'disitu', 'nama', 'apps', 'aneh', 'dimana', 'salah', 'satunya', 'memanipulasi', 'informasi', 'perangkat', 'soc', 'kapasitas', 'ram', 'rom', 'dsb', 'perangkat', 'gb', 'beruntung', 'gb', 'berjalan', 'versi', 'android', 'kebawah', 'android', 'butuh', 'minimal', 'ram', 'keatas', 'logo', 'tempelan', 'doang', 'xd', 'edit', 'android', 'keatas', 'jalan', 'ram', 'gb', 'smooth', 'gadgetnya', 'hang', 'namanya', 'android', 'go', 'dirancang', 'perangkat', 'ram', 'gb', 'kebawah', 'android', 'entry', 'level', 'patch', 'keamanan', 'fitur', 'uptodate', 'nama', 'android', 'one', 'didesain', 'perangkat', 'low', 'budgetentry', 'level', 'android', 'go', 'populer', 'anggap', 'android', 'go', 'versi', 'litenya', 'android', 'utama', 'btw', 'alasan', 'android', 'keatas', 'butuh', 'minimal', 'ram', 'gb', 'fiturnya', 'floating', 'windows', 'background', 'processor', 'butuh', 'alokasi', 'ram', 'anggap', 'min', 'requiremen', 'os', 'dekstop']",bang david penasaran atur apps list appsnya situ nama apps aneh mana salah satu manipulasi informasi perangkat soc kapasitas ram rom dsb perangkat gb untung gb jalan versi android bawah android butuh minimal ram atas logo tempel doang xd edit android atas jalan ram gb smooth gadgetnya hang nama android go rancang perangkat ram gb bawah android entry level patch aman fitur uptodate nama android one desain perangkat low budgetentry level android go populer anggap android go versi litenya android utama btw alas android atas butuh minimal ram gb fiturnya floating windows background processor butuh alokasi ram anggap min requiremen os dekstop,"['bang', 'david', 'penasaran', 'atur', 'apps', 'list', 'appsnya', 'situ', 'nama', 'apps', 'aneh', 'mana', 'salah', 'satu', 'manipulasi', 'informasi', 'perangkat', 'soc', 'kapasitas', 'ram', 'rom', 'dsb', 'perangkat', 'gb', 'untung', 'gb', 'jalan', 'versi', 'android', 'bawah', 'android', 'butuh', 'minimal', 'ram', 'atas', 'logo', 'tempel', 'doang', 'xd', 'edit', 'android', 'atas', 'jalan', 'ram', 'gb', 'smooth', 'gadgetnya', 'hang', 'nama', 'android', 'go', 'rancang', 'perangkat', 'ram', 'gb', 'bawah', 'android', 'entry', 'level', 'patch', 'aman', 'fitur', 'uptodate', 'nama', 'android', 'one', 'desain', 'perangkat', 'low', 'budgetentry', 'level', 'android', 'go', 'populer', 'anggap', 'android', 'go', 'versi', 'litenya', 'android', 'utama', 'btw', 'alas', 'android', 'atas', 'butuh', 'minimal', 'ram', 'gb', 'fiturnya', 'floating', 'windows', 'background', 'processor', 'butuh', 'alokasi', 'ram', 'anggap', 'min', 'requiremen', 'os', 'dekstop']"
@TretanUniverse,suapnya gede ini buat konten ini dan biar bs satu frame satu set gaming lbh ampuh dari gram,positive,suapnya gede ini buat konten ini dan biar bs satu frame satu set gaming lbh ampuh dari gram,"['suapnya', 'gede', 'ini', 'buat', 'konten', 'ini', 'dan', 'biar', 'bs', 'satu', 'frame', 'satu', 'set', 'gaming', 'lbh', 'ampuh', 'dari', 'gram']","['suapnya', 'gede', 'ini', 'buat', 'konten', 'ini', 'dan', 'biar', 'bisa', 'satu', 'frame', 'satu', 'set', 'gaming', 'lebih', 'ampuh', 'dari', 'gram']","['suapnya', 'gede', 'konten', 'biar', 'frame', 'set', 'gaming', 'ampuh', 'gram']",suap gede kontan biar frame set gaming ampuh gram,"['suap', 'gede', 'konten', 'biar', 'frame', 'set', 'gaming', 'ampuh', 'gram']"
@dodilutfianto6884,setelah melihat notifikasi vidio inijiwa misquenku terpanggil,neutral,setelah melihat notifikasi video inijiwa misquenku terpanggil,"['setelah', 'melihat', 'notifikasi', 'video', 'inijiwa', 'misquenku', 'terpanggil']","['setelah', 'melihat', 'notifikasi', 'video', 'inijiwa', 'misquenku', 'terpanggil']","['notifikasi', 'video', 'inijiwa', 'misquenku', 'terpanggil']",notifikasi video inijiwa delinkuen panggil,"['notifikasi', 'video', 'inijiwa', 'misquenku', 'panggil']"
@a.fikrinailularzaq4105,ini bagus si buat telkomsel biar nggak leha leha internet mahal kualitas rendah kalo merasa ada kompetitor semoga telkomsel bisa banyak berbenah,positive,ini bagus si buat telkomsel biar gak leha leha internet mahal kualitas rendah kalo merasa ada kompetitor semoga telkomsel bisa banyak berbenah,"['ini', 'bagus', 'si', 'buat', 'telkomsel', 'biar', 'gak', 'leha', 'leha', 'internet', 'mahal', 'kualitas', 'rendah', 'kalo', 'merasa', 'ada', 'kompetitor', 'semoga', 'telkomsel', 'bisa', 'banyak', 'berbenah']","['ini', 'bagus', 'sih', 'buat', 'telkomsel', 'biar', 'enggak', 'leha', 'leha', 'internet', 'mahal', 'kualitas', 'rendah', 'kalo', 'merasa', 'ada', 'kompetitor', 'semoga', 'telkomsel', 'bisa', 'banyak', 'berbenah']","['bagus', 'sih', 'telkomsel', 'biar', 'leha', 'leha', 'internet', 'mahal', 'kualitas', 'rendah', 'kalo', 'kompetitor', 'semoga', 'telkomsel', 'berbenah']",bagus sih telkomsel biar leha leha internat mahal kualitas rendah kalau kompetitor moga telkomsel benah,"['bagus', 'sih', 'telkomsel', 'biar', 'leha', 'leha', 'internet', 'mahal', 'kualitas', 'rendah', 'kalo', 'kompetitor', 'moga', 'telkomsel', 'benah']"
@JustNap,netijen mana ada pc gaming rb kudet tech hold my beer btches,neutral,netijen mana ada pc gaming rb kudet tech hold my beer btches,"['netijen', 'mana', 'ada', 'pc', 'gaming', 'rb', 'kudet', 'tech', 'hold', 'my', 'beer', 'btches']","['netijen', 'mana', 'ada', 'pc', 'gaming', 'ribu', 'kudet', 'tech', 'hold', 'my', 'beer', 'btches']","['netijen', 'pc', 'gaming', 'ribu', 'kudet', 'tech', 'hold', 'my', 'beer', 'btches']",mentimun pc gaming ribu kudet tech hold my beer btches,"['netijen', 'pc', 'gaming', 'ribu', 'kudet', 'tech', 'hold', 'my', 'beer', 'btches']"
@mochammadariqatillah2000an,timestamp opening nama hp spesifikasi kunci iklan kopi kapal api box hp isi box penampakan hp build quality info pembelian daleman hp inspirasi video startup tampilan awal hp spesifikasi lengkap tes kualitas layar dan audio sim card tray tes konektivitas tes kamera funny moment kesimpulan closing bonus scene,neutral,timestamp opening nama hp spesifikasi kunci iklan kopi kapal api box hp isi box penampakan hp build quality info pembelian daleman hp inspirasi video startup tampilan awal hp spesifikasi lengkap tes kualitas layar dan audio sim card tray tes konektivitas tes kamera lucu momen kesimpulan penutupan adegan bonus,"['timestamp', 'opening', 'nama', 'hp', 'spesifikasi', 'kunci', 'iklan', 'kopi', 'kapal', 'api', 'box', 'hp', 'isi', 'box', 'penampakan', 'hp', 'build', 'quality', 'info', 'pembelian', 'daleman', 'hp', 'inspirasi', 'video', 'startup', 'tampilan', 'awal', 'hp', 'spesifikasi', 'lengkap', 'tes', 'kualitas', 'layar', 'dan', 'audio', 'sim', 'card', 'tray', 'tes', 'konektivitas', 'tes', 'kamera', 'lucu', 'momen', 'kesimpulan', 'penutupan', 'adegan', 'bonus']","['timestamp', 'opening', 'nama', 'hp', 'spesifikasi', 'kunci', 'iklan', 'kopi', 'kapal', 'api', 'box', 'hp', 'isi', 'box', 'penampakan', 'hp', 'build', 'quality', 'info', 'pembelian', 'daleman', 'hp', 'inspirasi', 'video', 'startup', 'tampilan', 'awal', 'hp', 'spesifikasi', 'lengkap', 'tes', 'kualitas', 'layar', 'dan', 'audio', 'sim', 'card', 'tray', 'tes', 'konektivitas', 'tes', 'kamera', 'lucu', 'momen', 'kesimpulan', 'penutupan', 'adegan', 'bonus']","['timestamp', 'opening', 'nama', 'hp', 'spesifikasi', 'kunci', 'iklan', 'kopi', 'kapal', 'api', 'box', 'hp', 'isi', 'box', 'penampakan', 'hp', 'build', 'quality', 'info', 'pembelian', 'daleman', 'hp', 'inspirasi', 'video', 'startup', 'tampilan', 'hp', 'spesifikasi', 'lengkap', 'tes', 'kualitas', 'layar', 'audio', 'sim', 'card', 'tray', 'tes', 'konektivitas', 'tes', 'kamera', 'lucu', 'momen', 'kesimpulan', 'penutupan', 'adegan', 'bonus']",timestamp opening nama hp spesifikasi kunci iklan kopi kapal api box hp isi box penampan hp build quality info beli dalem hp inspirasi video startup tampil hp spesifikasi lengkap tes kualitas layar audio sim card tray tes konektivitas tes kamera lucu momen simpul tutup adegan bonus,"['timestamp', 'opening', 'nama', 'hp', 'spesifikasi', 'kunci', 'iklan', 'kopi', 'kapal', 'api', 'box', 'hp', 'isi', 'box', 'tampak', 'hp', 'build', 'quality', 'info', 'beli', 'dalem', 'hp', 'inspirasi', 'video', 'startup', 'tampil', 'hp', 'spesifikasi', 'lengkap', 'tes', 'kualitas', 'layar', 'audio', 'sim', 'card', 'tray', 'tes', 'konektivitas', 'tes', 'kamera', 'lucu', 'momen', 'simpul', 'tutup', 'adegan', 'bonus']"
@bpsocial9103,org china bukan hanya punya banyak kenalan elektronik tapi bahkan bisa menyatukan org beragama dan tidak beragama aku cinta chinese people,positive,org china bukan hanya punya banyak kenalan elektronik tapi bahkan bisa menyatukan org beragama dan tidak beragama aku cinta orang cina,"['org', 'china', 'bukan', 'hanya', 'punya', 'banyak', 'kenalan', 'elektronik', 'tapi', 'bahkan', 'bisa', 'menyatukan', 'org', 'beragama', 'dan', 'tidak', 'beragama', 'aku', 'cinta', 'orang', 'cina']","['orang', 'china', 'bukan', 'hanya', 'punya', 'banyak', 'kenalan', 'elektronik', 'tapi', 'bahkan', 'bisa', 'menyatukan', 'orang', 'beragama', 'dan', 'tidak', 'beragama', 'aku', 'cinta', 'orang', 'cina']","['china', 'kenalan', 'elektronik', 'menyatukan', 'beragama', 'beragama', 'cinta', 'cina']",china kenal elektronik satu agama agama cinta cina,"['china', 'kenal', 'elektronik', 'satu', 'agama', 'agama', 'cinta', 'cina']"
